SerialNumber,IsPresent,Title,Authors,Edition,Volume,Year,Publisher,ISBN,Notes,RIS,NLMClassification,LCCClassification,MeSHTerms,EbookURL,,,,,,,,,,,
216,TRUE,Textbook of Gastrointestinal Radiology,"Gore, Richard M.; Levine, Marc S.",3rd,1,2008,Saunders Elsevier,978-1-4160-2332-6,Volumen 1. Este ISBN también es a veces referido como el del set por el usuario. El ISBN del set de 2 volúmenes más común es 978-1-4160-2331-9.,"TY  - BOOK|||T1  - Textbook of Gastrointestinal Radiology|||AU  - Gore, Richard M.|||AU  - Levine, Marc S.|||ED  - 3rd|||VL  - 1|||PY  - 2008|||PB  - Saunders Elsevier|||SN  - 978-1-4160-2332-6|||N1  - Volume 1. This ISBN is sometimes also referred to as the set ISBN by the user. The most common 2-volume set ISBN is 978-1-4160-2331-9.|||ER  - ",,,,,,,,,,,,,,,
217,TRUE,Textbook of Gastrointestinal Radiology,"Gore, Richard M.; Levine, Marc S.",3rd,2,2008,Saunders Elsevier,"9996007553 (Vol.2); 978-1-4160-2332-6 (Set, según usuario)",Volumen 2. ISBN impreso en este volumen: 9996007553. ISBN del set proporcionado por el usuario: 978-1-4160-2332-6 (este ISBN se asocia comúnmente con el Vol. 1; el ISBN para el set de 2 volúmenes más común es 978-1-4160-2331-9).,"TY  - BOOK|||T1  - Textbook of Gastrointestinal Radiology|||AU  - Gore, Richard M.|||AU  - Levine, Marc S.|||ED  - 3rd|||VL  - 2|||PY  - 2008|||PB  - Saunders Elsevier|||SN  - 978-1-4160-2331-9|||N1  - Volume 2. ISBN printed on this volume may be 9996007553. User indicated 978-1-4160-2332-6 as set ISBN, though the latter is more commonly associated with Vol. 1. The ISBN 978-1-4160-2331-9 is for the 2-volume set.|||ER  - ",,,,,,,,,,,,,,,
218,TRUE,Principles and Practice of Radiation Therapy,"Washington, Charles M.; Leaver, Dennis",3rd,,2010,Mosby Elsevier,,,"TY  - BOOK|||T1  - Principles and Practice of Radiation Therapy|||AU  - Washington, Charles M.|||AU  - Leaver, Dennis|||ED  - 3rd|||PY  - 2010|||PB  - Mosby Elsevier|||ER  - ",WN 250,RM847,Radiotherapy / methods,https://www.elsevier.com/books/principles-and-practice-of-radiation-therapy/washington/978-0-323-05378-9,,,,,,,,,,,
219,TRUE,Braunwald's Heart Disease: A Textbook of Cardiovascular Medicine,"Libby, Peter; Bonow, Robert O.; Mann, Douglas L.; Zipes, Douglas P.",8th,,2008,Saunders Elsevier,,,"TY  - BOOK|||T1  - Braunwald's Heart Disease: A Textbook of Cardiovascular Medicine|||AU  - Libby, Peter|||AU  - Bonow, Robert O.|||AU  - Mann, Douglas L.|||AU  - Zipes, Douglas P.|||ED  - 8th|||PY  - 2008|||PB  - Saunders Elsevier|||ER  - ",WG 100,RC681,Heart Diseases; Cardiovascular Diseases,,,,,,,,,,,,
220,TRUE,Primary Care: Collaborative Practice,"Buttaro, Terry Mahan; Trybulski, JoAnn; Bailey, Patricia Polgar; Cook, Jody",4th,,2013,Elsevier,,Autores identificados mediante búsqueda.,"TY  - BOOK|||T1  - Primary Care: Collaborative Practice|||AU  - Buttaro, Terry Mahan|||AU  - Trybulski, JoAnn|||AU  - Bailey, Patricia Polgar|||AU  - Cook, Jody|||ED  - 4th|||PY  - 2013|||PB  - Elsevier|||N1  - Authors identified via search based on spine info.|||ER  - ",WB 110,R729.5.G4,Primary Health Care; Nurse Practitioners,https://evolve.elsevier.com/cs/product/9780323075015?role=student,,,,,,,,,,,
221,TRUE,Foundations and Adult Health Nursing,"Cooper, Kim; Gosnell, Kelly",7th,,2011,Elsevier,,,"TY  - BOOK|||T1  - Foundations and Adult Health Nursing|||AU  - Cooper, Kim|||AU  - Gosnell, Kelly|||ED  - 7th|||PY  - 2011|||PB  - Elsevier|||ER  - ",WY 150,RT41,Nursing Care; Adult,,,,,,,,,,,,
222,TRUE,Rheumatology,"Klippel, John H.; Dieppe, Paul A.",2nd,Vol 1 (Sec 1-5),1998?,Mosby,0-7234-2408-5,"Año no especificado en cubierta, probable 2ª Edición (~1998). ISBN-10 proporcionado.","TY  - BOOK|||T1  - Rheumatology|||AU  - Klippel, John H.|||AU  - Dieppe, Paul A.|||ED  - 2nd|||VL  - 1 Sections 1-5|||PY  - 1998|||PB  - Mosby|||SN  - 0-7234-2408-5|||N1  - Year not specified on cover, likely 2nd Ed. (~1998). ISBN-10 provided.|||ER  - ",WE 140,RC927,Rheumatic Diseases,,,,,,,,,,,,
223,TRUE,Maternal-Child Nursing,"McKinney, Emily Slone; James, Susan R.; Murray, Sharon Smith; Nelson, Kristine; Ashwill, Jean Weiler",4th,,2013,Elsevier,,,"TY  - BOOK|||T1  - Maternal-Child Nursing|||AU  - McKinney, Emily Slone|||AU  - James, Susan R.|||AU  - Murray, Sharon Smith|||AU  - Nelson, Kristine|||AU  - Ashwill, Jean Weiler|||ED  - 4th|||PY  - 2013|||PB  - Elsevier|||ER  - ",WY 157.3,RJ245,Maternal-Child Nursing,https://evolve.elsevier.com/cs/product/9781455754052?role=student,,,,,,,,,,,
224,TRUE,Orthopedic Physical Assessment,"Magee, David J.",5th,,2008,Saunders Elsevier,978-0-7216-0571-5,,"TY  - BOOK|||T1  - Orthopedic Physical Assessment|||AU  - Magee, David J.|||ED  - 5th|||PY  - 2008|||PB  - Saunders Elsevier|||SN  - 978-0-7216-0571-5|||ER  - ",,,,,,,,,,,,,,,
225,TRUE,Pathology and Intervention in Musculoskeletal Rehabilitation,"Neumann, Donald A.",2nd,,2010,Mosby Elsevier,,,"TY  - BOOK|||T1  - Pathology and Intervention in Musculoskeletal Rehabilitation|||AU  - Neumann, Donald A.|||ED  - 2nd|||PY  - 2010|||PB  - Mosby Elsevier|||ER  - ",WE 140,RC925.5,Musculoskeletal Diseases / rehabilitation; Physical Therapy Modalities,https://evolve.elsevier.com/cs/product/9780323047184?role=student,,,,,,,,,,,
226,TRUE,Kinesiology of the Musculoskeletal System: Foundations for Rehabilitation,"Neumann, Donald A.",2nd,,2010,Mosby Elsevier,978-0-323-03989-5,,"TY  - BOOK|||T1  - Kinesiology of the Musculoskeletal System: Foundations for Rehabilitation|||AU  - Neumann, Donald A.|||ED  - 2nd|||PY  - 2010|||PB  - Mosby Elsevier|||SN  - 978-0-323-03989-5|||ER  - ",,,,,,,,,,,,,,,
227,TRUE,Bones and Cartilage: Developmental and Evolutionary Skeletal Biology,"Hall, Brian K.",2nd,,2015?,Academic Press,978-0-12-416678-3,"Año no especificado en cubierta, probable 2ª Edición (~2015).","TY  - BOOK|||T1  - Bones and Cartilage: Developmental and Evolutionary Skeletal Biology|||AU  - Hall, Brian K.|||ED  - 2nd|||PY  - 2015|||PB  - Academic Press|||SN  - 978-0-12-416678-3|||N1  - Year not specified on cover, likely 2nd Ed. (~2015).|||ER  - ",WE 200,QP88.2,Bone and Bones; Cartilage; Developmental Biology,https://www.elsevier.com/books/bones-and-cartilage/hall/978-0-12-416678-3,,,,,,,,,,,
228,TRUE,Surgery of the Skin: Procedural Dermatology,"Robinson, June K.; Hanke, C. William; Siegel, Daniel M.; Fratila, Alina",2nd,,2010,Elsevier Mosby,,Editores identificados mediante búsqueda.,"TY  - BOOK|||T1  - Surgery of the Skin: Procedural Dermatology|||AU  - Robinson, June K.|||AU  - Hanke, C. William|||AU  - Siegel, Daniel M.|||AU  - Fratila, Alina|||ED  - 2nd|||PY  - 2010|||PB  - Elsevier Mosby|||N1  - Editors identified via search based on spine info.|||ER  - ",WR 650,RD520,Dermatologic Surgical Procedures,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090415224,,,,,,,,,,,
229,TRUE,Atlas of Sexual Violence,International Association of Forensic Nurses,,,2013?,Elsevier,978-1-4377-2783-8,"Año basado en etiqueta (2013). Autores/editores específicos no claros en cubierta, se lista la asociación.",,"TY  - BOOK|||T1  - Atlas of Sexual Violence|||AU  - International Association of Forensic Nurses|||PY  - 2013|||PB  - Elsevier|||SN  - 978-1-4377-2783-8|||N1  - Year based on library label (2013). Specific authors/editors not clear on cover, association listed.|||ER  - ",W 860,RA1122.8,Sex Offenses; Forensic Nursing; Atlases,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20110035262,,,,,,,,,,
230,TRUE,Lewis's Medical-Surgical Nursing: Assessment and Management of Clinical Problems (Australia and New Zealand Edition),"Brown, Di; Edwards, Helen; Seaton, Lesley; Buckley, Thomas",4th,,2015,Elsevier Australia,978-0-7295-4177-6,Edición ANZ. Año basado en etiqueta.,"TY  - BOOK|||T1  - Lewis's Medical-Surgical Nursing: Assessment and Management of Clinical Problems (Australia and New Zealand Edition)|||AU  - Brown, Di|||AU  - Edwards, Helen|||AU  - Seaton, Lesley|||AU  - Buckley, Thomas|||ED  - 4th|||PY  - 2015|||PB  - Elsevier Australia|||SN  - 978-0-7295-4177-6|||N1  - Australia and New Zealand Edition. Year based on library label.|||ER  - ",WY 150,RT41,Perioperative Nursing; Nursing Care,https://evolve.elsevier.com/cs/product/9780729541776?role=student,,,,,,,,,,,
231,TRUE,Henry's Clinical Diagnosis and Management by Laboratory Methods,"McPherson, Richard A.; Pincus, Matthew R.",22nd,,2011,Saunders Elsevier,,,"TY  - BOOK|||T1  - Henry's Clinical Diagnosis and Management by Laboratory Methods|||AU  - McPherson, Richard A.|||AU  - Pincus, Matthew R.|||ED  - 22nd|||PY  - 2011|||PB  - Saunders Elsevier|||ER  - ",QY 4,RB37,"Diagnosis, Laboratory; Clinical Laboratory Techniques",https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090585592,,,,,,,,,,,
232,TRUE,Critical Thinking Cases in Nursing,"Harding, Mariann; Snyder, Julie S.",4th,,2009,Mosby Elsevier,,,"TY  - BOOK|||T1  - Critical Thinking Cases in Nursing|||AU  - Harding, Mariann|||AU  - Snyder, Julie S.|||ED  - 4th|||PY  - 2009|||PB  - Mosby Elsevier|||ER  - ",WY 18.5,RT42,Nursing Process; Critical Thinking; Case Reports,,,,,,,,,,,,
233,TRUE,Varcarolis' Foundations of Psychiatric Mental Health Nursing: A Clinical Approach,"Halter, Margaret Jordan",7th,,2014,Elsevier Saunders,,,"TY  - BOOK|||T1  - Varcarolis' Foundations of Psychiatric Mental Health Nursing: A Clinical Approach|||AU  - Halter, Margaret Jordan|||ED  - 7th|||PY  - 2014|||PB  - Elsevier Saunders|||ER  - ",WY 160,RC440,Psychiatric Nursing,https://evolve.elsevier.com/cs/product/9780323089801?role=student,,,,,,,,,,,
234,TRUE,Foundations of Nursing in the Community: Community-Oriented Practice,"Stanhope, Marcia; Lancaster, Jeanette",4th,,2014,Elsevier Mosby,,,"TY  - BOOK|||T1  - Foundations of Nursing in the Community: Community-Oriented Practice|||AU  - Stanhope, Marcia|||AU  - Lancaster, Jeanette|||ED  - 4th|||PY  - 2014|||PB  - Elsevier Mosby|||ER  - ",WY 106,RT98,Community Health Nursing,https://evolve.elsevier.com/cs/product/9780323100946?role=student,,,,,,,,,,,
235,TRUE,Care of the Patient in Surgery,"Rothrock, Jane C.",15th,,2015,Elsevier Mosby,,,"TY  - BOOK|||T1  - Care of the Patient in Surgery|||AU  - Rothrock, Jane C.|||ED  - 15th|||PY  - 2015|||PB  - Elsevier Mosby|||ER  - ",WY 161,RD99,Perioperative Nursing,,,,,,,,,,,,
236,TRUE,Alexander's Care of the Patient in Surgery,"Rothrock, Jane C.; McEwen, Donna R.",15th,,2015,Elsevier Mosby,978-0-323-08942-5,,"TY  - BOOK|||T1  - Alexander's Care of the Patient in Surgery|||AU  - Rothrock, Jane C.|||AU  - McEwen, Donna R.|||ED  - 15th|||PY  - 2015|||PB  - Elsevier Mosby|||SN  - 978-0-323-08942-5|||ER  - ",,,,,,,,,,,,,,,
237,TRUE,Psychiatric Nursing,"Videbeck, Sheila L.",6th,,2014,Lippincott Williams & Wilkins,,,"TY  - BOOK|||T1  - Psychiatric Nursing|||AU  - Videbeck, Sheila L.|||ED  - 6th|||PY  - 2014|||PB  - Lippincott Williams & Wilkins|||ER  - ",WY 160,RC440,Psychiatric Nursing,https://shop.lww.com/Psychiatric-Mental-Health-Nursing/p/9781451172918,,,,,,,,,,,
238,TRUE,Principles and Practice of Psychiatric Nursing,"Stuart, Gail W.; Laraia, Michele T.",10th,,2013,Elsevier Mosby,,,"TY  - BOOK|||T1  - Principles and Practice of Psychiatric Nursing|||AU  - Stuart, Gail W.|||AU  - Laraia, Michele T.|||ED  - 10th|||PY  - 2013|||PB  - Elsevier Mosby|||ER  - ",WY 160,RC440,Psychiatric Nursing,https://evolve.elsevier.com/cs/product/9780323080020?role=student,,,,,,,,,,,
239,TRUE,Introduction to Clinical Pharmacology,"Edmunds, Marilyn Winterton",7th,,2013,Elsevier Mosby,,,"TY  - BOOK|||T1  - Introduction to Clinical Pharmacology|||AU  - Edmunds, Marilyn Winterton|||ED  - 7th|||PY  - 2013|||PB  - Elsevier Mosby|||ER  - ",QV 38,RM300,"Pharmacology, Clinical",https://evolve.elsevier.com/cs/product/9780323087197?role=student,,,,,,,,,,,
240,TRUE,Contemporary Treatment of Dentofacial Deformity,"Proffit, William R.; White, Raymond P.; Sarver, David M.",,,2003,Mosby Elsevier,0-7216-9357-1,,"TY  - BOOK|||T1  - Contemporary Treatment of Dentofacial Deformity|||AU  - Proffit, William R.|||AU  - White, Raymond P.|||AU  - Sarver, David M.|||PY  - 2003|||PB  - Mosby Elsevier|||SN  - 0-7216-9357-1|||ER  - ",,,,,,,,,,,,,,,
241,TRUE,Essentials of Radiographic Physics and Imaging,"Johnston, James N.; Fauber, Terri L.",1st,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Essentials of Radiographic Physics and Imaging|||AU  - Johnston, James N.|||AU  - Fauber, Terri L.|||ED  - 1st|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WN 110,QC481,Radiography / instrumentation; Physics,https://evolve.elsevier.com/cs/product/9780323073653?role=student,,,,,,,,,,,
242,TRUE,Pain Procedures in Clinical Practice,"Lennard, Ted A.",3rd,,2011,Elsevier Saunders,,,"TY  - BOOK|||T1  - Pain Procedures in Clinical Practice|||AU  - Lennard, Ted A.|||ED  - 3rd|||PY  - 2011|||PB  - Elsevier Saunders|||ER  - ",WL 704,RB127,Pain Management; Injections,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090530909,,,,,,,,,,,
243,TRUE,Berry & Kohn's Operating Room Technique,"Phillips, Nancymarie",12th,,2013,Elsevier Mosby,,,"TY  - BOOK|||T1  - Berry & Kohn's Operating Room Technique|||AU  - Phillips, Nancymarie|||ED  - 12th|||PY  - 2013|||PB  - Elsevier Mosby|||ER  - ",WY 161,RD99,Operating Room Nursing; Perioperative Nursing,https://evolve.elsevier.com/cs/product/9780323073585?role=student,,,,,,,,,,,
244,TRUE,Public Health Nursing: Population-Centered Health Care in the Community,"Stanhope, Marcia; Lancaster, Jeanette",8th,,2012,Elsevier Mosby,,,"TY  - BOOK|||T1  - Public Health Nursing: Population-Centered Health Care in the Community|||AU  - Stanhope, Marcia|||AU  - Lancaster, Jeanette|||ED  - 8th|||PY  - 2012|||PB  - Elsevier Mosby|||ER  - ",WY 106,RT97,Public Health Nursing; Community Health Nursing,https://evolve.elsevier.com/cs/product/9780323067151?role=student,,,,,,,,,,,
245,TRUE,Basic Immunology: Functions and Disorders of the Immune System,"Abbas, Abul K.; Lichtman, Andrew H.",,,2004,Saunders Elsevier,978-0-323-02726-7,Edición no numerada específica para este ISBN.,"TY  - BOOK|||T1  - Basic Immunology: Functions and Disorders of the Immune System|||AU  - Abbas, Abul K.|||AU  - Lichtman, Andrew H.|||PY  - 2004|||PB  - Saunders Elsevier|||SN  - 978-0-323-02726-7|||N1  - Edition not numbered for this specific ISBN.|||ER  - ",,,,,,,,,,,,,,,
246,TRUE,Nathan and Oski's Hematology and Oncology of Infancy and Childhood,"Orkin, Stuart H.; Nathan, David G.; Ginsburg, David; Look, A. Thomas; Fisher, David E.; Lux, Samuel E.",8th,,2015,Saunders Elsevier,978-1-4557-0707-2,,"TY  - BOOK|||T1  - Nathan and Oski's Hematology and Oncology of Infancy and Childhood|||AU  - Orkin, Stuart H.|||AU  - Nathan, David G.|||AU  - Ginsburg, David|||AU  - Look, A. Thomas|||AU  - Fisher, David E.|||AU  - Lux, Samuel E.|||ED  - 8th|||PY  - 2015|||PB  - Saunders Elsevier|||SN  - 978-1-4557-0707-2|||ER  - ",,,,,,,,,,,,,,,
247,TRUE,Pediatric Endocrinology,"Sperling, Mark A.",3rd,,2008,Saunders Elsevier,978-1-4160-3430-8,Editor: Mark A. Sperling.,"TY  - BOOK|||T1  - Pediatric Endocrinology|||AU  - Sperling, Mark A.|||ED  - 3rd|||PY  - 2008|||PB  - Saunders Elsevier|||SN  - 978-1-4160-3430-8|||N1  - Editor: Mark A. Sperling.|||ER  - ",,,,,,,,,,,,,,,
248,TRUE,Textbook of Diagnostic Sonography,"Hagen-Ansert, Sandra L.",7th,2,2012,Elsevier Mosby,,Volumen 2.,"TY  - BOOK|||T1  - Textbook of Diagnostic Sonography|||AU  - Hagen-Ansert, Sandra L.|||ED  - 7th|||VL  - 2|||PY  - 2012|||PB  - Elsevier Mosby|||N1  - Volume 2.|||ER  - ",WN 200,RC78.7.U4,Ultrasonography,https://evolve.elsevier.com/cs/product/9780323073004?role=student,,,,,,,,,,,
249,TRUE,Comprehensive Pediatric Nephrology,"Geary, Denis F.; Schaefer, Franz",,,2008?,Mosby Elsevier,,Año estimado.,"TY  - BOOK|||T1  - Comprehensive Pediatric Nephrology|||AU  - Geary, Denis F.|||AU  - Schaefer, Franz|||PY  - 2008|||PB  - Mosby Elsevier|||N1  - Year estimated.|||ER  - ",WS 320,RJ466,Nephrology; Pediatrics; Kidney Diseases,https://www.clinicalkey.com/#!/browse/book/3-s2.0-C20090016135,,,,,,,,,,,
250,TRUE,Textbook of Diagnostic Microbiology,"Mahon, Connie R.; Lehman, Donald C.; Manuselis, George",4th,,2011,Saunders Elsevier,,,"TY  - BOOK|||T1  - Textbook of Diagnostic Microbiology|||AU  - Mahon, Connie R.|||AU  - Lehman, Donald C.|||AU  - Manuselis, George|||ED  - 4th|||PY  - 2011|||PB  - Saunders Elsevier|||ER  - ",QW 4,QR46,"Microbiology; Diagnosis, Laboratory",https://evolve.elsevier.com/cs/product/9781416061656?role=student,,,,,,,,,,,
251,TRUE,Sectional Anatomy for Imaging Professionals,"Kelley, Lorrie L.; Petersen, Connie M.",3rd,,2013,Elsevier Mosby,,,"TY  - BOOK|||T1  - Sectional Anatomy for Imaging Professionals|||AU  - Kelley, Lorrie L.|||AU  - Petersen, Connie M.|||ED  - 3rd|||PY  - 2013|||PB  - Elsevier Mosby|||ER  - ",WN 180,QM25,"Anatomy, Cross-Sectional; Diagnostic Imaging",https://evolve.elsevier.com/cs/product/9780323084905?role=student,,,,,,,,,,,
252,TRUE,Radiography Essentials for Limited Practice,"Long, Bruce W.; Frank, Eugene D.; Ehrlich, Ruth Ann",4th,,2013,Elsevier Saunders,,,"TY  - BOOK|||T1  - Radiography Essentials for Limited Practice|||AU  - Long, Bruce W.|||AU  - Frank, Eugene D.|||AU  - Ehrlich, Ruth Ann|||ED  - 4th|||PY  - 2013|||PB  - Elsevier Saunders|||ER  - ",WN 160,RC78,Radiography,https://evolve.elsevier.com/cs/product/9781455704118?role=student,,,,,,,,,,,
253,TRUE,Hypertension Made Easy: Understanding the Zahlen Code,"Black, Henry R.; Elliott, William J.",2nd,,2013,Elsevier Saunders,,,"TY  - BOOK|||T1  - Hypertension Made Easy: Understanding the Zahlen Code|||AU  - Black, Henry R.|||AU  - Elliott, William J.|||ED  - 2nd|||PY  - 2013|||PB  - Elsevier Saunders|||ER  - ",WG 340,RC685.H8,Hypertension,,,,,,,,,,,,
254,TRUE,Medical Insurance Made Easy,,,,,,978-0-71216-0556-2,"ISBN proporcionado por el usuario. No se encuentra información bibliográfica adicional con este ISBN. Se requiere verificar autores, año, editorial directamente del libro.","TY  - BOOK|||T1  - Medical Insurance Made Easy|||SN  - 978-0-71216-0556-2|||N1  - ISBN provided by user. No further bibliographic information found with this ISBN. Authors, year, publisher need to be verified from the book.|||ER  - ",,,,,,,,,,,,,,,
255,TRUE,Practice of Structural Heart Disease,"Leipsic, Jonathon; Ye, Jian; Pettersson, Gosta B.; Pulerwitz, Todd; Hahn, Rebecca T.",,,2012?,Saunders Elsevier,,Año estimado.,"TY  - BOOK|||T1  - Practice of Structural Heart Disease|||AU  - Leipsic, Jonathon|||AU  - Ye, Jian|||AU  - Pettersson, Gosta B.|||AU  - Pulerwitz, Todd|||AU  - Hahn, Rebecca T.|||PY  - 2012|||PB  - Saunders Elsevier|||N1  - Year estimated.|||ER  - ",WG 168,RD598,"Heart Defects, Congenital / surgery; Heart Diseases / surgery",,,,,,,,,,,,
256,TRUE,Interventional Procedures for Adult Structural Heart Disease,"Zipes, Douglas P.; Das, Jagmeet P.",,,2012?,Elsevier Saunders,,Año estimado.,"TY  - BOOK|||T1  - Interventional Procedures for Adult Structural Heart Disease|||AU  - Zipes, Douglas P.|||AU  - Das, Jagmeet P.|||PY  - 2012|||PB  - Elsevier Saunders|||N1  - Year estimated.|||ER  - ",WG 168,RD598,Heart Diseases / therapy; Catheterization,,,,,,,,,,,,
